time,v(v_in),v(out),v(c1),v(c2)
2.663008981599913026e-03,7.913864695590075993e-01,-2.387730066491910184e-06,4.999950679003971388e+00,3.137102395421002221e+00
2.664008981599913159e-03,7.848886275530189138e-01,2.430661549818382524e-06,4.999918515000437935e+00,3.137104280090194486e+00
2.665008981599913292e-03,7.784584952072770569e-01,-2.211938695213783728e-06,4.999951231718105404e+00,3.137106552243548840e+00
2.666008981599913424e-03,7.720963263723896741e-01,2.262998839744147136e-06,4.999920782794749385e+00,3.137108400732703473e+00
2.667008981599913557e-03,7.658023722158957547e-01,-2.051661993689729472e-06,4.999951836433892183e+00,3.137110706108694913e+00
2.668008981599913690e-03,7.595768812123246949e-01,2.109988749241679965e-06,4.999923012709952985e+00,3.137112521080854588e+00
2.669008981599913823e-03,7.534200991334016884e-01,-1.905239888835459986e-06,4.999952490563513763e+00,3.137114857265053569e+00
2.670008981599913955e-03,7.473322690383374933e-01,1.970080656923999569e-06,4.999925206983388826e+00,3.137116641303910658e+00
2.671008981599914088e-03,7.413136312642440995e-01,-1.771216667497724481e-06,4.999953191776907779e+00,3.137119006032007551e+00
2.672008981599914221e-03,7.353644234166383242e-01,1.841902805296495420e-06,4.999927367583664406e+00,3.137120761481208220e+00
2.673008981599914353e-03,7.294848803600559872e-01,-1.648308018663793282e-06,4.999953937680944982e+00,3.137123152699750506e+00
2.674008981599914486e-03,7.236752342087897638e-01,1.724257534813235973e-06,4.999929496539026630e+00,3.137124881812477728e+00
2.675008981599914619e-03,7.179357143177182987e-01,-1.535388754844208959e-06,4.999954726138863492e+00,3.137127297452862784e+00
2.676008981599914752e-03,7.122665472732661041e-01,1.616083366635786196e-06,4.999931595651233351e+00,3.137129002331695560e+00
2.677008981599914884e-03,7.066679568844376202e-01,-1.431459460359207702e-06,4.999955555101028182e+00,3.137131440576479413e+00
2.678008981599915017e-03,7.011401641739949397e-01,1.516438564028426344e-06,4.999933666585853587e+00,3.137133123146649272e+00
2.679008981599915150e-03,6.956833873697263471e-01,-1.335636377903144540e-06,4.999956422530491551e+00,3.137135582227442487e+00
2.680008981599915283e-03,6.902978418958423124e-01,1.424497798968002100e-06,4.999935711050233600e+00,3.137137244429272442e+00
2.681008981599915415e-03,6.849837403644511991e-01,-1.247142839853700960e-06,4.999957326585127149e+00,3.137139722635948313e+00
2.682008981599915548e-03,6.797412925671875161e-01,1.339525621268521013e-06,4.999937730538695391e+00,3.137141366175486112e+00
2.683008981599915681e-03,6.745707054669114466e-01,-1.165286978753226878e-06,4.999958265420825221e+00,3.137143861986621207e+00
2.684008981599915813e-03,6.694721831895449338e-01,1.260873053004127007e-06,4.999939726524716299e+00,3.137145488456642095e+00
2.685008981599915946e-03,6.644459270160232300e-01,-1.089455756378117334e-06,4.999959237365739106e+00,3.137148000410225457e+00
2.686008981599916079e-03,6.594921353743283809e-01,1.187959888300731923e-06,4.999941700359724628e+00,3.137149611392862081e+00
2.687008981599916212e-03,6.546110038316774737e-01,-1.019102101795363525e-06,4.999960240783750898e+00,3.137152138106732657e+00
2.688008981599916344e-03,6.498027250867830507e-01,1.120269703278330361e-06,4.999943653309249392e+00,3.137153735042934599e+00
2.689008981599916477e-03,6.450674889622571850e-01,-9.537385602054717502e-07,4.999961274113403853e+00,3.137156275206624212e+00
2.690008981599916610e-03,6.404054823971112587e-01,1.057343355459233164e-06,4.999945586595981872e+00,3.137157859362452061e+00
2.691008981599916743e-03,6.358168894393869675e-01,-8.929305037070320205e-07,4.999962335908766597e+00,3.137160411776490854e+00
2.692008981599916875e-03,6.313018912388750348e-01,9.987680187990943759e-07,4.999947501330630040e+00,3.137161984463663789e+00
2.693008981599917008e-03,6.268606660399707042e-01,-8.362891509340095394e-07,4.999963424710356819e+00,3.137164547997743913e+00
2.694008981599917141e-03,6.224933891746453618e-01,9.441790225401164094e-07,4.999949398619441432e+00,3.137166110434859601e+00
2.695008981599917273e-03,6.182002330555067537e-01,-7.834668304862305307e-07,4.999964539249257101e+00,3.137168683937485714e+00
2.696008981599917406e-03,6.139813671690124153e-01,8.932443649260870333e-07,4.999951279469888377e+00,3.137170237157097308e+00
2.697008981599917539e-03,6.098369580687608149e-01,-7.341517102090090345e-07,4.999965678194496554e+00,3.137172819716591565e+00
2.698008981599917672e-03,6.057671693689272718e-01,8.456681233390771310e-07,4.999953144774688774e+00,3.137174364797521431e+00
2.699008981599917804e-03,6.017721617377986831e-01,-6.880602907055617971e-07,4.999966840347616959e+00,3.137176955381459020e+00
2.700008981599917937e-03,5.978520928914403676e-01,8.011839181556831235e-07,4.999954995488415044e+00,3.137178493293520720e+00
2.701008981599918070e-03,5.940071175874535037e-01,-6.449422149623336010e-07,4.999968024537716715e+00,3.137181091005272204e+00
2.702008981599918203e-03,5.902373876188840018e-01,7.595493097053071067e-07,4.999956832342693502e+00,3.137182622662985310e+00
2.703008981599918335e-03,5.865430518082137556e-01,-6.045638817927243229e-07,4.999969229663794756e+00,3.137185226686169059e+00
2.704008981599918468e-03,5.829242560014931129e-01,7.205460188757887477e-07,4.999958656177012628e+00,3.137186752905404052e+00
2.705008981599918601e-03,5.793811430625881442e-01,-5.667191989445220828e-07,4.999970454689186994e+00,3.137189362449444019e+00
2.706008981599918733e-03,5.759138528675269431e-01,6.839771082669437093e-07,4.999960467732915248e+00,3.137190884010730763e+00
2.707008981599918866e-03,5.725225222989933638e-01,-5.312217797955801521e-07,4.999971698582002411e+00,3.137193498430581595e+00
2.708008981599918999e-03,5.692072852409091333e-01,6.496638191686596570e-07,4.999962267656282044e+00,3.137195016010255966e+00
2.709008981599919132e-03,5.659682725731571828e-01,-4.978994271690721877e-07,4.999972960386566356e+00,3.137197634544814928e+00
2.710008981599919264e-03,5.628056121664093414e-01,6.174424185699317684e-07,4.999964056589633721e+00,3.137199148862698461e+00
2.711008981599919397e-03,5.597194288770868109e-01,-4.665961820244792288e-07,4.999974239189274527e+00,3.137201770861151040e+00
2.712008981599919530e-03,5.567098445424198960e-01,5.871637411034678699e-07,4.999965835126204183e+00,3.137203282626620293e+00
2.713008981599919663e-03,5.537769779756431809e-01,-4.371709224824481019e-07,4.999975534075240979e+00,3.137205907477571110e+00
2.714008981599919795e-03,5.509209449613097220e-01,5.586935339914105468e-07,4.999967603810307359e+00,3.137207417172989121e+00
